id;Tarih;personelID;IP;gorevID;islem;firmaID;url;modulAd
66254;17.04.2023 08:24:00;2;192.168.1.60;0;Welcome Dashboard;5;;Dashboard
66255;17.04.2023 08:24:00;2;192.168.1.60;0;Welcome Dashboard;5;;Dashboard
66256;17.04.2023 08:24:00;2;192.168.1.60;0;Reçeteler Listelendi;5;;Reçete
66257;17.04.2023 08:25:00;2;192.168.1.60;0;Reçeteler Listelendi;5;;Reçete
66258;17.04.2023 08:25:00;2;192.168.1.60;22;Reçete Adimlari Listelendi : SEZERYAN SETI  NASMED;5;;Reçete
66259;17.04.2023 08:25:00;2;192.168.1.60;22;Yeni Reçete Olusturma Ekrani Girisi;5;;Reçete
66260;17.04.2023 08:25:00;2;192.168.1.60;0;Yeni Reçete Ekleme, Güncelleme, Kopyalama: SEZERYAN SETI  NASMED;5;;Reçete
66261;17.04.2023 08:25:00;2;192.168.1.60;0;Reçete Güncelleniyor: SEZERYAN SETI  NASMED;5;;Reçete
66262;17.04.2023 08:25:00;2;192.168.1.60;0;Reçeteler Listelendi;5;;Reçete
66263;17.04.2023 08:26:00;2;192.168.1.60;0;Yeni Reçete Olusturma Ekrani Girisi;5;;Reçete
66264;17.04.2023 08:28:00;2;192.168.1.60;0;Yeni Reçete Ekleme, Güncelleme, Kopyalama: YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66265;17.04.2023 08:28:00;2;192.168.1.60;0;Yeni Reçete Ekleniyor: YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66266;17.04.2023 08:28:00;2;192.168.1.60;0;Reçeteler Listelendi;5;;Reçete
66267;17.04.2023 08:28:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66268;17.04.2023 08:28:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66269;17.04.2023 08:28:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66270;17.04.2023 08:29:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66271;17.04.2023 08:30:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66272;17.04.2023 08:30:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66273;17.04.2023 08:30:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66274;17.04.2023 08:30:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66275;17.04.2023 08:30:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66276;17.04.2023 08:30:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66277;17.04.2023 08:31:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66278;17.04.2023 08:31:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66279;17.04.2023 08:31:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66280;17.04.2023 08:31:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66281;17.04.2023 08:31:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66282;17.04.2023 08:31:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66283;17.04.2023 08:31:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66284;17.04.2023 08:31:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66285;17.04.2023 08:31:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66286;17.04.2023 08:31:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66287;17.04.2023 08:32:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66288;17.04.2023 08:32:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66289;17.04.2023 08:32:00;2;192.168.1.60;0;Reçete Adimi Güncelleniyor;5;;Reçete
66290;17.04.2023 08:32:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66291;17.04.2023 08:32:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66292;17.04.2023 08:32:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66293;17.04.2023 08:33:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66294;17.04.2023 08:33:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66295;17.04.2023 08:33:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66296;17.04.2023 08:33:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66297;17.04.2023 08:33:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66298;17.04.2023 08:33:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66299;17.04.2023 08:34:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66300;17.04.2023 08:34:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66301;17.04.2023 08:34:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66302;17.04.2023 08:34:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66303;17.04.2023 08:34:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66304;17.04.2023 08:34:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66305;17.04.2023 08:35:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66306;17.04.2023 08:35:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66307;17.04.2023 08:35:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66308;17.04.2023 08:35:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66309;17.04.2023 08:35:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66310;17.04.2023 08:35:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66311;17.04.2023 08:36:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66312;17.04.2023 08:36:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66313;17.04.2023 08:36:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66314;17.04.2023 08:36:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66315;17.04.2023 08:55:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66316;17.04.2023 08:56:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66317;17.04.2023 08:56:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66318;17.04.2023 08:56:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66319;17.04.2023 08:56:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
66320;17.04.2023 08:56:00;2;192.168.1.60;1120;Reçete Adimlari Listelendi : YAN BANTLI ÖRTÜ 100X150CM  SMS;5;;Reçete
66321;17.04.2023 08:56:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66322;17.04.2023 08:56:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66323;17.04.2023 08:57:00;2;192.168.1.60;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
66324;17.04.2023 08:57:00;2;192.168.1.60;0;Yeni Reçete Ekleme veya Güncelleme: ;5;;Reçete
66325;17.04.2023 08:57:00;2;192.168.1.60;0;Yeni Reçete Adimi Ekleniyor;5;;Reçete
66326;17.04.2023 08:57:00;2;192.168.1.60;0;Reçete adimi sirasi degistirildi;5;;Reçete
